КодОЗ,Кол-во коек,Врачи,Средний медперсонал
4189,,,
4191,30,7,10
4194,,,
4197,,,
4201,,,
4205,,,
4208,,,
4212,,,
4213,,,
4215,,,
4217,,,
4219,,,
4228,,,
4231,,,
4232,,,
4235,,,
4237,,,
4238,,,
4239,,,
4241,,,
4244,,,
4248,,,
4249,,,
4250,,,
4256,,,
4257,,,
4258,,,
4260,,,
4265,,,
4266,,,
4269,,,
4273,,,
4275,,,
4276,,,
4277,,,
4278,,,
4279,,,
4280,,,
4281,,,
4282,,,
4283,,,
4284,,,
4290,,,
4292,,,
4295,,,
4296,,,
4297,,,
4298,,,
4301,,,
4302,,,
4303,,,
4305,,,
4306,,,
4307,,,
4308,,,
4309,,,
4310,,,
4311,,,
4312,,,
4313,,,
4318,,,
4320,,,
4322,0,38,71
4323,0,59,130
4324,0,40,87
4325,0,67,129
4327,0,88,123
4329,,,
4330,,,
4331,,,
4332,,,
4333,,,
4334,0,42,125
5000,,,
5001,,,
5002,,,
5003,,,
5004,,,
5005,,,
5006,,,
5007,,,
5009,,,
5010,,,
5011,,,
5012,,,
5013,,,
5014,,,
5015,,,
5016,,,
5017,,,
5019,,,
5020,,,
5021,,,
5022,,,
5023,,,
5024,,,
5025,,,
5026,,,
5027,,,
5028,,,
5029,,,
5030,,,
5031,,,
5033,,,
5034,,,
5035,,,
5036,,,
5039,,,
5041,,,
5042,,,
5043,,,
5044,,,
5045,,,
5046,,,
5048,,,
5050,,,
5051,,,
5052,,,
5053,,,
5054,,,
5055,,,
5057,,,
5058,,,
5059,,,
5060,,,
5061,,,
5062,,,
5063,,,
5064,,,
5065,,,
5066,,,
5067,,,
5068,,,
5069,,,
5070,50,4,20
5071,90,14,49
5072,,,
5073,,,
5076,108,20,79
5077,120,21,67
5078,,,
5079,,,
5080,,,
5081,25,3,17
5083,,,
5084,,,
5085,,,
5086,,,
5088,,,
5089,,,
5090,,,
5091,,,
5092,,,
5093,,,
5094,,,
5095,,,
5096,,,
5097,,,
5098,,,
5099,,,
5100,270,85,175
5101,,,
5102,,,
5103,,,
5105,,,
5106,,,
5107,,,
5108,,,
5110,,,
5111,,,
5112,,,
5113,,,
5114,,,
5115,,,
5116,,,
5118,,,
5119,,,
5120,,,
5121,,,
5123,,,
5124,,,
5126,70,10,26
5127,,,
5128,,,
5130,,,
5132,,,
5136,,,
5137,,,
5138,,,
5139,,,
5140,,,
5141,,,
5142,,,
5143,,,
5144,,,
5145,,,
5146,,,
5147,,,
5148,,,
5149,,,
5150,,,
5151,,,
5152,,,
5153,,,
5154,,,
5155,,,
5156,,,
5157,,,
5158,,,
5159,,,
5160,,,
5161,,,
5162,,,
5164,,,
5166,35,9,15
5168,204,69,160
5170,,,
5171,,,
5172,,,
5180,,,
5181,,,
5182,,,
5183,,,
5184,,,
5185,,,
5186,,,
5187,,,
5188,,,
5189,,,
5190,,,
5191,,,
5192,,,
5193,,,
5194,,,
5195,,,
5196,,,
5197,,,
5198,,,
5199,,,
5200,,,
5201,,,
5202,,,
5203,,,
5205,,,
5207,,,
5208,,,
5211,,,
5212,,,
5213,,,
5214,,,
5215,,,
5217,,,
5273,258,58,153
5276,,,
5277,,,
5278,,,
5279,,,
5283,,,
5292,,,
5294,,,
5416,,,
5420,,,
5421,,,
5423,,,
5425,,,
5426,,,
5427,,,
5432,,,
5438,,,
5439,,,
5440,,,
5459,,,
5461,,,
5477,,,
5478,,,
5479,,,
5480,,,
5487,,,
5489,,,
5490,,,
5492,,,
5493,,,
5494,,,
5495,,,
5496,,,
5497,,,
5499,510,112,287
5503,,,
5504,,,
5505,,,
5506,,,
6000,,,
6001,,,
6002,,,
6003,,,
6004,,,
6005,,,
6006,,,
6007,0,42,50
6008,,,
6009,,,
6010,290,92,186
6011,,,
6012,,,
6013,,,
6014,,,
6015,,,
6016,,,
6017,,,
6019,,,
6020,,,
6021,,,
6022,,,
6023,,,
6024,,,
6025,,,
6026,,,
6027,,,
6028,,,
6029,,,
6030,,,
6031,,,
6032,,,
6033,,,
6034,,,
6035,,,
6036,,,
6037,,,
6038,,,
6039,,,
6040,,,
6041,,,
6042,,,
6043,,,
6044,165,52,96
6045,,,
6046,,,
6047,,,
6048,,,
6049,,,
6050,,,
6051,,,
6052,,,
6053,,,
6054,,,
6055,,,
6056,140,39,82
6057,,,
6058,,,
6059,,,
6060,,,
6061,,,
6062,,,
6063,,,
6064,,,
6065,,,
6066,,,
6067,,,
6068,,,
6069,,,
6070,,,
6071,,,
6072,,,
6073,,,
6074,,,
6075,,,
6076,,,
6077,,,
6078,,,
6079,,,
6080,,,
6081,,,
6082,,,
6083,,,
6084,,,
6085,,,
6086,,,
6087,,,
6088,,,
6089,,,
6090,227,49,136
6091,,,
6092,,,
6094,,,
6096,440,138,312
6101,20,2,12
6103,,,
6104,,,
6105,,,
